model_id;response_id;cs_id;ucs_id;control;reg;up_down_r;is_mem;relax.integrated;relax.emergence;train.integrated;train.emergence;relapse.integrated;relapse.emergence;test.integrated;test.emergence;reset.integrated;reset.emergence
50;3;2;12;9;Regulation.UP;Regulation.NEUTRAL;False;0.005502693122732327;0.0004822778446816889;0.007886730574088396;0.0006449011315094455;0.05505967970399411;0.0062897756225075985;0.021438872075407567;0.002270649868531205;0.04673493883507279;0.0050050746117960565
50;3;2;12;9;Regulation.DOWN;Regulation.NEUTRAL;False;0.9969439085536833;0.48611050305195436;0.9963485051138901;0.485901457887295;0.9963518148842666;0.4859018435408405;0.9963519530085094;0.48590185641020767;0.9975649352170708;0.48601868081569466
50;3;4;13;5;Regulation.UP;Regulation.NEUTRAL;True;0.09693942458970736;0.058399720697977386;0.08647582783332863;0.05265849455515187;0.08662868571821059;0.05270550537411828;0.0877065178861074;0.053623734845439516;0.109574678664766;0.06444418325937548
50;3;4;13;5;Regulation.DOWN;Regulation.NEUTRAL;False;0.047173423595668014;0.005466648966726384;0.04658105148578152;0.005448934551870566;0.04687321027072994;0.005479839113690998;0.046919226997326646;0.005484707683151124;0.05619434074837526;0.006452861042298856
50;7;2;6;2;Regulation.UP;Regulation.NEUTRAL;False;0.2319620949321453;0.005972686534529037;0.24091405712224104;0.0014292376173528631;0.13010766470536908;-0.030395987544756947;0.2220880800117457;-0.010443875462331526;0.16036302234741856;-0.025142001120858237
50;7;2;6;2;Regulation.DOWN;Regulation.NEUTRAL;True;3.475674519386983;2.826431159585;3.11507124845323;2.5882636196763094;3.1292778726820147;2.5950253285162503;3.1241090064827577;2.5924710064001326;3.1229702117594655;2.591914353562448
50;3;4;10;13;Regulation.UP;Regulation.NEUTRAL;True;0.7144532018626162;0.6525945325798808;0.6950217094802932;0.6360903788071417;0.6795555885193119;0.6236632712668024;0.7057593594859715;0.6463399992873061;0.6831921015243915;0.6270229375834666
50;3;4;10;13;Regulation.DOWN;Regulation.NEUTRAL;False;4.174261279233223;3.3952509072765213;4.096562246792012;3.368140219668944;4.087512624391072;3.3708093433240944;4.085179817801578;3.371227532702088;4.282200302200431;3.3513414788614764
50;3;2;12;0;Regulation.UP;Regulation.NEUTRAL;False;0.2215166789272205;0.015957722909439864;0.22733287854590697;0.006421071426726571;0.08294990480799136;-0.0570175883631739;0.19941215358576878;-0.017485311582504687;0.13120220059010307;-0.04659758821191683
50;3;2;12;0;Regulation.DOWN;Regulation.NEUTRAL;False;3.567285369628512;3.0551716951097614;3.1407486423271322;2.757682465843628;3.178827858901816;2.7797678894469646;3.176980154351101;2.7786890372392596;3.176069120399153;2.7781588441115934
50;4;5;13;7;Regulation.UP;Regulation.NEUTRAL;False;1.4738094784519484;1.3833912000826631;1.429995722148548;1.347663862409095;1.4269320184638015;1.345221988748102;1.4539293568736995;1.3669325722287589;1.4436430226339305;1.3594826747990236
50;4;5;13;7;Regulation.DOWN;Regulation.NEUTRAL;True;2.911015893707626;2.195928745287169;2.723126598419564;2.000110967909066;2.7586571904351604;2.039383758245446;2.760838583612045;2.0418558198142276;2.76095178486226;2.0419940452236496
50;5;1;8;13;Regulation.UP;Regulation.NEUTRAL;False;0.02032246265484522;0.0019847248343935475;0.01667251552446275;0.0015766370905431204;0.016252530146785016;0.0015390785769892612;0.01856089792816673;0.0017678916308725978;0.016266188196113474;0.0015459201329726113
50;5;1;8;13;Regulation.DOWN;Regulation.NEUTRAL;True;3.2246929711542944;0.13341891702522846;2.961020963127526;0.13276439391773032;2.992293816499611;0.1326832483087652;2.9922433197035088;0.1326990433816313;2.947472225641141;0.13638719008833888
50;4;3;8;6;Regulation.UP;Regulation.NEUTRAL;True;3.90526004400052;3.6509760017386963;3.84625999497782;3.6339717717292497;3.8477696370624033;3.634379814385084;3.8486836395511737;3.6346020719562433;4.341654167851397;3.812595820819669
50;4;3;8;6;Regulation.DOWN;Regulation.NEUTRAL;True;1.188748442081192;0.6773197222174887;0.7318951410803731;0.4578641272351501;0.6756419246029659;0.4304415301742026;0.672800817718505;0.4290542118065053;0.7985832561117593;0.4895503287873912
50;3;2;0;12;Regulation.UP;Regulation.NEUTRAL;False;0.26472701127230047;0.05172099853692522;0.2522243980505082;0.04317630106514825;0.0;-0.12813187238457288;0.17971248649171953;-0.012817208238600282;0.04124932172662551;-0.09770443588069894
50;3;2;0;12;Regulation.DOWN;Regulation.NEUTRAL;False;3.3103534242432273;2.6580693594489344;3.3057569492597123;2.6576665272292423;3.3034877832565;2.6574717809562465;3.3068047786414656;2.6577449036299168;3.7329940658391423;2.711713319708016
