seed;model_id;nodes.number;edges.number;degree.in.mean;degree.in.std;degree.out.mean;degree.out.std;betweenness.mean;betweenness.std;pagerank.mean;pagerank.std;h.mean;h.std;a.mean;a.std;se;cd.mean;cd.std;lyapunov.mean;lyapunov.std;lyapunov.max;dfa;ghe;memories.perc;emergence.median;is_best_mem;is_best_ce
2;3;3;0;0.0;0.0;0.0;0.0;0.0;0.0;0.3333333333333333;0.0;nan;nan;0.3333333333333333;0.5162020325901933;3.6252920767120653e-06;0.017199105065579933;0.00017889885236547446;-0.0018923959312668493;0.020179126416275443;0.02598199728653289;0.7144109430038326;0.5089337534049964;0.3333334444444259;nan;False;False
2;16;7;10;1.4285714285714286;0.7284313590846835;1.4285714285714286;0.9035079029052513;0.17142857142857143;0.15779087167410372;0.14285714285714285;0.07366882223290848;0.14285714285714285;0.19992591054589276;0.14285714285714285;0.16771098409315852;nan;0.0;0.0;inf;nan;inf;nan;nan;1.0;0.0005136202535169221;True;False
2;29;4;7;1.75;0.4330127018922193;1.75;0.4330127018922193;0.24999999999999997;0.16666666666666663;0.24999999999999997;0.07513009550107067;0.24999999999999997;0.24999999999999978;0.24999999999999997;0.24999999999999975;0.000804542710821525;0.21390747850077466;0.08125041244815043;0.10464544069682885;0.05230625966903819;0.1752045754720094;0.010628075817513733;0.9109732107884991;0.18181821900826278;5.8504988089765;False;True
2;31;3;4;1.3333333333333333;0.4714045207910317;1.3333333333333333;0.4714045207910317;0.3333333333333333;0.4714045207910317;0.33333333333333326;0.10829516493540972;0.3333333333333333;0.7498651649569776;0.3333333333333332;4.24004525517868;-0.0;0.00688110581408834;0.0004901584866440282;-0.08829366423505425;0.018861518948524225;-0.07317524085576046;0.018323458769423453;0.6620313622718202;9.090908259512531e-08;nan;False;False
2;39;5;4;0.8;0.7483314773547883;0.8;0.7483314773547883;0.03333333333333333;0.06666666666666667;0.2;0.1474390976465877;0.2;0.2350220672213004;0.2;0.17507573891765585;7.104275098534986e-08;0.024391134260909404;0.0004518551916646655;0.0207990828099881;0.023277461285660002;0.06410479945037349;0.050378722373716434;0.723391295494319;0.7857142933673467;nan;False;False
9;3;3;0;0.0;0.0;0.0;0.0;0.0;0.0;0.3333333333333333;0.0;nan;nan;0.3333333333333333;1.0505779898417178;0.0002881146216438978;0.040261869103914785;0.02372310037049075;0.0538164954892573;0.01820739995310204;0.07732154700109516;1.250854176389515;0.8157227932500575;0.14285726530610499;nan;False;False
9;4;5;4;0.8;0.4000000000000001;0.8;0.4000000000000001;0.0;0.0;0.2;0.08192765369258963;0.2;0.41023954772779875;0.2;0.41023954772779875;-0.0;0.006192711371133219;0.002272916253303189;-0.11405154546395269;0.047354698246911735;-0.06108248046804717;0.02659887629287573;0.5659197384476374;0.6923077159763296;nan;False;False
9;16;7;10;1.4285714285714286;0.7284313590846835;1.4285714285714286;0.9035079029052513;0.17142857142857143;0.15779087167410372;0.14285714285714285;0.07366882223290848;0.14285714285714285;0.1999259105458932;0.14285714285714285;0.16771098409315902;nan;0.0;0.0;inf;nan;inf;nan;nan;1.0;0.007060381352206213;False;False
9;29;4;7;1.75;0.4330127018922193;1.75;0.4330127018922193;0.24999999999999997;0.16666666666666663;0.24999999999999997;0.07513009550107067;0.24999999999999997;0.25;0.25;0.25000000000000006;0.00020967908628722186;0.019146786467130337;0.005318697206310322;-0.005278623649352538;0.029853777592160253;0.031959724093340365;-0.03582078646691577;0.736683729036809;4.166666500715621e-08;nan;False;False
9;31;3;4;1.3333333333333333;0.4714045207910317;1.3333333333333333;0.4714045207910317;0.3333333333333333;0.4714045207910317;0.33333333333333326;0.10829516493540972;0.3333333333333333;0.3062982671523744;0.3333333333333333;0.14223731086889244;9.449837864092575e-07;0.08086562605213148;0.0571735608763045;0.06513322456023396;0.01271594144384109;0.07452873777559949;0.3316839875068603;0.6166389555504731;0.400000059999994;nan;False;False
9;39;5;4;0.8;0.7483314773547883;0.8;0.7483314773547883;0.03333333333333333;0.06666666666666667;0.2;0.1474390976465877;0.19999999999999998;0.5428306856422376;0.19999999999999996;2.0981225588912857;-0.0;0.01050980844597339;0.00018946904650540318;-0.010227612507059393;0.052522732214780876;0.06551398447147967;-0.005187839576014692;0.6956980186961539;0.8518518573388201;nan;False;False
1;3;3;0;0.0;0.0;0.0;0.0;0.0;0.0;0.3333333333333333;0.0;nan;nan;0.3333333333333333;0.8377591475928001;0.00026895557838237696;0.014279423025391943;0.010434222350290888;0.14124009611557942;0.053071313416334115;0.18440410452711442;0.6030801679041266;0.7492103792133639;1.0;nan;False;False
1;4;5;4;0.8;0.4000000000000001;0.8;0.4000000000000001;0.0;0.0;0.2;0.08192765369258963;0.2;0.10791638008159257;0.19999999999999998;0.10791638008159256;-0.0;0.008459902088567395;0.0005878191881838837;-0.04596109044270752;0.027455587166136927;-0.010746523732783198;-0.014236803559405284;0.412120657371432;0.8750000078124995;nan;False;False
1;16;7;10;1.4285714285714286;0.7284313590846835;1.4285714285714286;0.9035079029052513;0.17142857142857143;0.15779087167410372;0.14285714285714285;0.07366882223290848;0.14285714285714285;0.19992591054589312;0.14285714285714285;0.1677109840931589;nan;0.0;0.0;inf;nan;inf;nan;nan;1.0;0.052932907120328165;False;False
1;29;4;7;1.75;0.4330127018922193;1.75;0.4330127018922193;0.24999999999999997;0.16666666666666663;0.24999999999999997;0.07513009550107067;0.24999999999999997;0.25;0.25;0.2500000000000001;1.4530662797332854e-06;0.008629222767532089;0.0003875609393077023;-0.07718558895866337;0.03871551798964401;-0.023073687021024466;0.027300082678819077;0.8484259692284961;0.6470588442906562;nan;False;False
1;31;3;4;1.3333333333333333;0.4714045207910317;1.3333333333333333;0.4714045207910317;0.3333333333333333;0.4714045207910317;0.33333333333333326;0.10829516493540972;0.33333333333333326;1.071451671347971;0.3333333333333333;0.44634897880034186;2.2891689688296565e-07;0.014946752575602936;0.00041841908930306815;0.00564785858282237;0.01457034698283044;0.022929652374655243;0.008722798076006196;0.8521400556323767;8.333332635057644e-08;0.4353283995474033;False;False
