model_id;nodes.number;edges.number;degree.in.mean;degree.in.std;degree.out.mean;degree.out.std;betweenness.mean;betweenness.std;pagerank.mean;pagerank.std;h.mean;h.std;a.mean;a.std
2;13;25;1.9230769230769231;1.1409536133993328;1.9230769230769231;1.8589301497837802;0.0303030303030303;0.024718915382585947;0.07692307692307694;0.057734643894832606;0.07692307692307691;0.08405091005382442;0.07692307692307693;0.05555742875323982
3;3;0;0.0;0.0;0.0;0.0;0.0;0.0;0.3333333333333333;0.0;nan;nan;0.33333333333333326;0.7934294254567789
4;5;4;0.8;0.4000000000000001;0.8;0.4000000000000001;0.0;0.0;0.2;0.08192765369258963;0.2;0.28942168927076833;0.2;0.28942168927076833
5;9;11;1.2222222222222223;0.9162456945817024;1.2222222222222223;0.9162456945817024;0.1468253968253968;0.11748310589751952;0.1111111111111111;0.05724582926812687;0.1111111111111111;0.14941232390560538;0.1111111111111111;0.1444560173764112
6;4;3;0.75;0.4330127018922193;0.75;0.4330127018922193;0.125;0.07216878364870322;0.25000000000000006;0.11684459409803495;0.25;2.5893834765179813;0.24999999999999994;2.5893834765179817
10;8;10;1.25;0.4330127018922193;1.25;0.4330127018922193;0.011904761904761904;0.020619652471058063;0.125;0.0351694805036978;0.12500000000000006;1.9950329808667449;0.12500000000000003;0.6240931462157143
69;10;8;0.8;0.6;0.8;0.4;0.018055555555555554;0.0196908984427192;0.10000000000000002;0.06875977614017843;0.1;0.20000000000000004;0.1;0.30000000000000004
16;7;10;1.4285714285714286;0.7284313590846835;1.4285714285714286;0.9035079029052513;0.17142857142857143;0.15779087167410372;0.14285714285714285;0.07366882223290848;0.14285714285714285;0.19992591054589295;0.14285714285714285;0.16771098409315874
17;19;39;2.0526315789473686;1.6375104406425312;2.0526315789473686;1.7312509687787923;0.039731682146542824;0.05459750082043968;0.05263157894736841;0.02783341476651991;0.05263157894736842;0.04984008543718856;0.05263157894736842;0.04888842967014672
22;12;24;2.0;2.5495097567963922;2.0;1.2909944487358056;0.11287878787878787;0.2154327547263857;0.08333333333333333;0.08521902434603522;0.08333333333333333;0.034888357770850364;0.08333333333333333;0.1579865731179157
21;10;11;1.1;0.7;1.1;0.8306623862918074;0.03055555555555555;0.031549490810001524;0.1;0.040538832093266364;0.1;0.13888600318730915;0.1;0.15593131517037226
23;13;18;1.3846153846153846;1.146128032750103;1.3846153846153846;1.3323467750529825;0.03787878787878789;0.06036885397920163;0.07692307692307693;0.031536299135142394;0.07692307692307691;0.1095856317652887;0.07692307692307694;0.10286698398953639
26;11;18;1.6363636363636365;0.4810456929208347;1.6363636363636365;0.4810456929208347;0.2282828282828283;0.08545955999328271;0.09090909090909091;0.017079046617939526;0.09090909090909091;0.0586829494787339;0.09090909090909091;0.05727442414797056
27;3;4;1.3333333333333333;0.4714045207910317;1.3333333333333333;0.4714045207910317;0.3333333333333333;0.4714045207910317;0.33333333333333326;0.10829516493540972;0.3333333333333333;0.8142176547923757;0.3333333333333334;0.3736657257386196
483;8;8;1.0;0.0;1.0;0.0;0.0;0.0;0.125;0.0;0.12499999999999997;0.26638754691039235;0.12499999999999997;0.26638754691039235
29;4;7;1.75;0.4330127018922193;1.75;0.4330127018922193;0.24999999999999997;0.16666666666666663;0.24999999999999997;0.07513009550107067;0.25;0.25;0.25;0.25
31;3;4;1.3333333333333333;0.4714045207910317;1.3333333333333333;0.4714045207910317;0.3333333333333333;0.4714045207910317;0.33333333333333326;0.10829516493540972;0.3333333333333334;1.0232444134702814;0.3333333333333333;0.43417587220906906
631;12;0;0.0;0.0;0.0;0.0;0.0;0.0;0.08333333333333333;0.0;nan;nan;0.08333333333333333;0.6870120824076463
203;12;11;0.9166666666666666;1.3819269959814162;0.9166666666666666;0.6400954789890507;0.004545454545454546;0.006943296507508848;0.08333333333333331;0.07767505520877699;0.08333333333333333;0.10206207261596575;0.08333333333333333;0.198373011903968
204;12;11;0.9166666666666666;1.3819269959814162;0.9166666666666666;0.6400954789890507;0.004545454545454546;0.006943296507508848;0.08333333333333331;0.07767505520877699;0.08333333333333336;0.10206207261596575;0.08333333333333333;0.198373011903968
209;20;12;0.6;1.3190905958272918;0.6;0.48989794855663565;0.0008771929824561403;0.0013399344137297775;0.05;0.05891299547049857;0.049999999999999996;0.07637626158259733;0.05;0.21794494717703367
210;18;12;0.6666666666666666;1.3743685418725533;0.6666666666666666;0.47140452079103173;0.0012254901960784314;0.0017331048558493812;0.05555555555555555;0.06544894743420962;0.05555555555555555;0.07856742013183861;0.05555555555555555;0.22906142364542556
275;5;0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.0;nan;nan;0.2;3.752776442077263
39;5;4;0.8;0.7483314773547883;0.8;0.7483314773547883;0.03333333333333333;0.06666666666666667;0.2;0.1474390976465877;0.19999999999999998;0.5148200724571252;0.2;0.28855401151539967
50;14;22;1.5714285714285714;0.82065180664829;1.5714285714285714;1.5452362609131383;0.02335164835164835;0.036812731212897035;0.07142857142857142;0.02917678086796937;0.07142857142857142;0.078321489669105;0.0714285714285714;0.0448795078435534
35;10;27;2.7;0.6403124237432849;2.7;1.2688577540449522;0.0875;0.10468390103450705;0.1;0.031277144520713535;0.1;0.05484517393064487;0.09999999999999999;0.03298693340702839
36;3;4;1.3333333333333333;0.4714045207910317;1.3333333333333333;0.4714045207910317;0.3333333333333333;0.4714045207910317;0.33333333333333326;0.10829516493540972;0.3333333333333333;0.274659519357928;0.3333333333333333;0.12143259533698476
37;12;9;0.75;0.5951190357119042;0.75;0.5951190357119042;0.0015151515151515152;0.0033879817840905897;0.08333333333333333;0.06033377851319709;0.08333333333333333;0.2842788762460158;0.08333333333333336;0.6486404191125287
38;17;20;1.1764705882352942;0.6169463812765598;1.1764705882352942;0.6169463812765598;0.19019607843137254;0.1461721636377111;0.05882352941176472;0.02597796930689169;0.0588235294117647;0.11494817004460826;0.05882352941176472;0.1745237790911624
