model_id;response_id;cs_id;ucs_id;control;reg;up_down_r;is_mem;relax.integrated;relax.emergence;train.integrated;train.emergence;relapse.integrated;relapse.emergence;test.integrated;test.emergence;reset.integrated;reset.emergence
50;10;9;5;0;Regulation.UP;Regulation.NEUTRAL;False;0.00029837391683601444;3.0332428512080956e-05;0.00029815589207782267;3.131681653495422e-05;0.00030004812778033907;2.978396088088031e-05;0.0002999605146301598;2.9783355637469366e-05;0.00030046717146489654;3.0293390179847446e-05
50;10;9;5;0;Regulation.DOWN;Regulation.NEUTRAL;True;0.0002893878874008493;3.400913890005963e-05;0.0002892539572117714;3.549995907831116e-05;0.00029107931198829595;3.343370815767077e-05;0.0002910793119896282;3.343370815767077e-05;0.0002916478596814154;3.395425192770363e-05
50;10;9;5;1;Regulation.UP;Regulation.NEUTRAL;False;0.6573285729719979;0.5479907947379411;0.6696661822040013;0.555732354173156;0.6560260707213792;0.54700815964836;0.6560334044734782;0.5470156089161833;0.6609597320880858;0.5498990797401013
50;10;9;5;1;Regulation.DOWN;Regulation.NEUTRAL;True;0.6256849723114698;0.5184744074481662;0.6381258448863898;0.5262457143687826;0.6245744695149236;0.5176364118371828;0.6245744695149236;0.5176364118371828;0.6291357224680875;0.5202986828417886
50;10;9;5;9;Regulation.UP;Regulation.NEUTRAL;False;0.6503455252225511;0.6137729585468567;0.6589263811227006;0.6215185424972265;0.6500429437541568;0.6135101469563395;0.6501601337031356;0.6136202579324412;0.6503821038174629;0.6138225313479583
50;10;9;5;9;Regulation.DOWN;Regulation.NEUTRAL;True;0.7036335626741483;0.6567575656525799;0.7283898117184695;0.6792035655752423;0.7035988755271918;0.6567408916625239;0.7035988752772602;0.65674089143496;0.7043930886168156;0.6574473425829785
50;3;2;11;4;Regulation.UP;Regulation.NEUTRAL;False;0.055606788423403275;0.026671707338412454;0.05439494786341026;0.02614215552365573;0.05459312776133074;0.026231718740941323;0.05402694038433459;0.026073841460433234;0.058469185713270144;0.02800910449353422
50;3;2;11;4;Regulation.DOWN;Regulation.NEUTRAL;False;3.1378726386528815;3.0748250949111045;3.137393476560474;3.0744445983494577;3.1374325350894647;3.0744786837884694;3.1374396782061966;3.0744848328405174;3.138062347583272;3.075262288972534
50;10;9;1;0;Regulation.UP;Regulation.NEUTRAL;False;4.09479860309691;3.6458888353998944;4.0968361717119315;3.648793022055978;4.095998119767348;3.647897900066977;4.097288142073754;3.6490417835100666;4.096446096550078;3.648442642252738
50;10;9;1;0;Regulation.DOWN;Regulation.NEUTRAL;True;2.372185818711408;2.3680968155025997;2.2924549139454484;2.287683896162525;2.291558398035108;2.286777199202346;2.2915485603987307;2.2867672361533433;2.291548381393865;2.2867670552443102
50;10;9;1;2;Regulation.UP;Regulation.NEUTRAL;False;4.09479860309691;3.6458888353998944;4.0968361717119315;3.648793022055978;4.095998119767348;3.647897900066977;4.097288142073754;3.6490417835100666;4.096446096550078;3.648442642252738
50;10;9;1;2;Regulation.DOWN;Regulation.NEUTRAL;True;2.372185818711408;2.3680968155025997;2.2924549139454484;2.287683896162525;2.291558398035108;2.286777199202346;2.2915485603987307;2.2867672361533433;2.291548381393865;2.2867670552443102
50;10;9;1;2;Regulation.UP;Regulation.NEUTRAL;False;0.03820964571542357;0.008837329767750424;0.03547286244287556;0.00845692688345806;0.03545448609786034;0.008455046501087915;0.03586568277964508;0.008522211437835103;0.03765128757065034;0.009005106217601588
50;10;9;1;2;Regulation.DOWN;Regulation.NEUTRAL;True;0.11766994185342489;0.1121400080450708;0.07559939301400986;0.054947629215188476;0.07567875256753345;0.05513352136845723;0.07567802715738686;0.05513320220471041;0.06655246363824538;0.043757891232588275
50;10;9;1;3;Regulation.UP;Regulation.NEUTRAL;False;4.094825257525804;3.6459153357915004;4.096858283814422;3.6488147748392628;4.096018097649759;3.647917904906488;4.0973114338376835;3.6490643987888207;4.096467356952782;3.6484631650426405
50;10;9;1;3;Regulation.DOWN;Regulation.NEUTRAL;True;3.8176392359515514;0.7044282756192;3.761227129276598;0.6543748142637842;3.7597019700492385;0.6542839032235532;3.7596678066090794;0.6542834733494955;4.112298943065259;0.7827715370862518
50;10;9;1;3;Regulation.UP;Regulation.NEUTRAL;False;1.2551129504454734;0.780134323158632;1.2542845205590092;0.7799683087702658;1.2544337345358332;0.7800152871378483;1.2544509024264883;0.7799631618239475;1.2542993060295038;0.7799542709451781
50;10;9;1;3;Regulation.DOWN;Regulation.NEUTRAL;True;3.1802512447393845;0.561224579032976;3.107731689690099;0.5864251584105116;3.107822304367631;0.5881328919449338;3.1078239564105106;0.5881409498148238;3.6236641693806297;0.6977275183220217
50;10;9;1;4;Regulation.UP;Regulation.NEUTRAL;False;0.5239454637958713;0.3173757003515254;0.523503366475466;0.31728577874534053;0.5235168982073937;0.31725510850034655;0.5235998545551601;0.317294296945706;0.5235294248380229;0.31727603816679323
50;10;9;1;4;Regulation.DOWN;Regulation.NEUTRAL;True;2.372039609543796;2.3679454562010687;2.292310922118681;2.287540151627318;2.291414592079783;2.2866335582297754;2.2914047110756637;2.286623590035627;2.291414609714341;2.286633589669897
