model_id;response_id;circuit_id;relax.synergy;train.synergy;test.synergy;verify.synergy;relax.causation;train.causation;test.causation;verify.causation;relax.redundancy;train.redundancy;test.redundancy;verify.redundancy;relax.integrated;train.integrated;test.integrated;verify.integrated;relax.emergence;train.emergence;test.emergence;verify.mergence
3;0;0;7.951551644902466e-08;-1.3135935450492298e-08;3.985258650862633e-09;8.009558952193352e-08;6.783679742938808e-08;8.900519495036452e-08;-1.5219141114020118e-08;6.142051586083275e-09;8.908211716895931e-08;7.36936911216457e-08;2.8698889108225156e-07;-5.2588761442762255e-08;2.0243040878969998e-08;2.8717959101032253e-07;2.3080346285564435e-07;nan;nan;nan;nan;nan
3;0;1;7.609212296366685e-08;-1.3235569418235116e-08;3.906092428673791e-09;7.644323486710736e-08;6.43015827805904e-08;8.526118581986264e-08;-1.5266725841844853e-08;6.06376686362875e-09;8.514109484103471e-08;6.98043441105245e-08;2.6744562846292563e-07;-5.223209381677307e-08;1.984878485530861e-08;2.658352027222477e-07;2.0855534962893607e-07;nan;nan;nan;nan;nan
4;1;0;1.7365011433789768e-06;-8.542163286162641e-07;0.00044421559653806675;0.0001971420169069038;8.809710879686961e-07;2.3515331878942725e-06;3.1674236172785086e-07;0.0004474638041627177;0.00019064696804149683;2.636230421348973e-06;1.7773486477579148e-06;-7.624279004803114e-07;0.00044281528428746775;0.00019681716071368038;1.033634024927288e-06;nan;nan;nan;nan;nan
4;2;0;1.7726302864451426e-07;-1.2480997568786734e-08;4.69610803577325e-08;1.806077462862543e-07;1.1195305862909954e-07;4.463928282572027e-08;-9.809912604463733e-09;1.9830717845614743e-08;4.6428232675088665e-08;3.491521841092471e-08;3.559860325963449e-08;-9.016957847052254e-09;2.0248312138093638e-08;3.790761374244944e-08;2.6050780227437897e-08;nan;nan;nan;nan;nan
4;2;1;0.05642790463473346;-0.0011679013649543712;0.0003970179402092988;0.05812784851552644;0.055253064996943047;0.05733863035849329;-0.001163721292877562;0.00039969369076375827;0.05903842590717723;0.056174908623123465;0.05813818935002968;-0.0025851716644824663;0.000431373639735666;0.059726784851038384;0.056636053937841435;nan;nan;nan;nan;nan
4;2;2;0.001991645156131483;-0.00037232733348285807;0.0002172871374646057;0.0026422952327329607;0.0016193472643299955;0.001875634605462917;-0.0003605853873475118;0.0002178792314051492;0.002535337646599911;0.0015140573396048573;0.0010815180835919702;-0.0004814167934555358;0.0002208031388892806;0.001848148075979661;0.0007218192262647416;nan;nan;nan;nan;nan
10;0;0;0.6622835598941272;-0.000481397510262882;8.486419822428815e-08;0.6624589108095742;0.6617864649319745;0.6569108248488427;-0.0004770187050146535;8.761700806547701e-08;0.6570808792331588;0.6563949826007223;0.7431052245748029;-0.000479377012937765;6.845614841655134e-08;0.7432741899402593;0.7426175958111614;nan;nan;nan;nan;nan
10;0;1;0.3690076191538204;-0.02034557622323363;0.0033098648991875534;0.3690813088952812;0.34865644287977837;0.37357834494553166;-0.02042591207593658;0.0033177795686754052;0.3736572738011472;0.35298411869665774;0.3561010299400293;-0.019917373121413173;0.00326427702054366;0.3561732945271219;0.3362011175045573;nan;nan;nan;nan;nan
10;0;2;2.2837736544008704;-0.23409102059709297;1.769244390187814;2.6689473623850235;2.049682327690535;2.2837898511844354;-0.2340990106739455;1.7692372472856568;2.668956379374136;2.0496899970458875;2.283769445381523;-0.2341058256624795;1.7692387436959405;2.6689302647732567;2.0496621406011792;nan;nan;nan;nan;nan
10;0;3;1.9342846936060443;-0.0050985792080295855;8.375515356817687e-07;1.9367782184790663;1.9291945945014528;1.932553908611038;-0.00509635052959756;8.316840672817349e-07;1.9350496074480181;1.9274580279690476;1.9340728484406542;-0.0051231477068623965;9.449308926434696e-07;1.93655174934156;1.928949448244362;nan;nan;nan;nan;nan
