model_id;name;lineage;c.e.median;c.e.std;int.inf.median;int.inf.std
348;cellular organisms-Eukaryota-Opisthokonta-Metazoa-Eumetazoa-Bilateria-Deuterostomia-Chordata-Craniata-Vertebrata-Gnathostomata-Teleostomi-Euteleostomi-Sarcopterygii-Dipnotetrapodomorpha-Tetrapoda-Amniota-Mammalia-Theria-Eutheria-Boreoeutheria-Euarchontoglires-Primates-Haplorrhini-Simiiformes-Catarrhini-Hominoidea-Hominidae-Homininae-Homo;Homo sapiens;1.8595639579568606;2.3093923206959888;2.13319221280988;6.361139590131739
374;cellular organisms-Eukaryota-Opisthokonta-Metazoa-Eumetazoa-Bilateria-Deuterostomia-Chordata-Craniata-Vertebrata-Gnathostomata-Teleostomi-Euteleostomi-Sarcopterygii-Dipnotetrapodomorpha-Tetrapoda-Amniota-Mammalia-Theria-Eutheria-Boreoeutheria-Euarchontoglires-Primates-Haplorrhini-Simiiformes-Catarrhini-Hominoidea-Hominidae-Homininae-Homo;Homo sapiens;2.6311759193398476;1.7545211293128185;2.848535607960785;4.573581503346089
360;cellular organisms;Eukaryota;0.6520521099419246;2.1286405274760436;2.6254397819973927;8.342146310721487
638;cellular organisms-Eukaryota-Opisthokonta-Fungi-Dikarya-Ascomycota-saccharomyceta-Saccharomycotina-Saccharomycetes-Saccharomycetales-Saccharomycetaceae-Saccharomyces;Saccharomyces cerevisiae;-1.5819749239170955e-05;0.017276191378769644;0.0014781615892920097;0.043727023412208015
228;cellular organisms-Eukaryota-Opisthokonta-Metazoa-Eumetazoa-Bilateria-Deuterostomia-Chordata-Craniata-Vertebrata-Gnathostomata-Teleostomi-Euteleostomi-Sarcopterygii-Dipnotetrapodomorpha-Tetrapoda-Amniota;Mammalia;1.7726424874953697;2.1670090928740637;1.930832210337666;2.1514591319700367
376;cellular organisms-Eukaryota-Opisthokonta-Metazoa-Eumetazoa-Bilateria-Deuterostomia-Chordata-Craniata-Vertebrata-Gnathostomata-Teleostomi-Euteleostomi-Sarcopterygii-Dipnotetrapodomorpha-Tetrapoda-Amniota-Mammalia-Theria-Eutheria-Boreoeutheria-Euarchontoglires-Primates-Haplorrhini-Simiiformes-Catarrhini-Hominoidea-Hominidae-Homininae-Homo;Homo sapiens;0.032531451656271915;0.4995747500589503;0.644475465833252;1.2336695206275563
362;cellular organisms;Eukaryota;0.00021403749513371206;0.03772716270253191;0.8648081134352364;0.20971045288959683
438;cellular organisms;cellular organisms;0.0699482755296088;1.6955825363435075;0.6725279799999283;3.780114525911592
377;cellular organisms-Eukaryota-Opisthokonta-Metazoa-Eumetazoa-Bilateria-Deuterostomia-Chordata-Craniata-Vertebrata-Gnathostomata-Teleostomi-Euteleostomi-Sarcopterygii-Dipnotetrapodomorpha-Tetrapoda-Amniota-Mammalia-Theria-Eutheria-Boreoeutheria-Euarchontoglires-Primates-Haplorrhini-Simiiformes-Catarrhini-Hominoidea-Hominidae-Homininae-Homo;Homo sapiens;0.31905111879364617;1.0256328185602848;1.0818679353536245;1.0775410282783187
48;cellular organisms-Eukaryota-Opisthokonta-Metazoa-Eumetazoa-Bilateria-Deuterostomia-Chordata-Craniata-Vertebrata-Gnathostomata-Teleostomi-Euteleostomi-Sarcopterygii-Dipnotetrapodomorpha-Tetrapoda-Amniota-Mammalia-Theria-Eutheria-Boreoeutheria-Euarchontoglires-Glires-Rodentia-Myomorpha-Muroidea-Muridae-Murinae-Rattus;Rattus norvegicus;0.6649907442553586;3.2180582427917073;1.7397884326896844;8.091278727986305
