model_id;relax.integrated;relax.emergence;train.integrated;train.emergence;relapse.integrated;relapse.emergence;test.integrated;test.emergence;reset.integrated;reset.emergence;perc.memories
50;4.314639466572465;3.089083652249494;4.356610217815077;2.7666994304319306;4.359862658234574;2.7895085301563993;4.353646988767924;2.802877162214641;4.352480444535111;2.805350402378145;0.44871794871794873
10;4.549092992379694;4.544666223965912;4.556592819638858;4.552120134841893;4.555838639414759;4.551351352703358;4.560587904150028;4.554384955524489;4.562510281383894;4.556008938160594;0.6190476190476191
37;0.05726788441697983;-0.0005133253024073858;0.054790233353338075;-0.0005785653304244409;0.05438075026133732;-0.0005613981497684106;0.05437558787537879;-0.0006022132463732732;0.053893485096594085;-0.0005928503506580363;0.16515151515151516
69;3.813047467188631;3.2567032574183954;3.813047467188631;3.2567032574183954;3.813047467188631;3.2567032574183954;3.813047467188631;3.2567032574183954;3.813047467188631;3.2567032574183954;0.44027777777777777
26;1.6984752145577144;0.3318864825294294;1.6667513760272072;0.341905407240066;1.675643395278101;0.34307323407467966;1.6692789258170557;0.341866086207702;1.677405144666655;0.3430469389885097;0.23030303030303031
23;0.014410477913105041;-0.00021233898103349344;0.014630765589888656;-0.00028482193494400176;0.013407318313645859;-0.000316713035204641;0.014692239471850943;-0.00030278650382293756;0.015365365637566686;-0.00028475144474737757;0.1555944055944056
29;6.204524602406892;3.194595463568754;6.272164390910602;3.2781901526701223;6.272164390910602;3.2781901526701223;6.272164390910602;3.2781901526701223;6.272164390910602;3.2781901526701223;0.3333333333333333
22;2.860863594777814;6.170729604892955e-05;2.8670121546895615;8.220754038412714e-05;2.8626989457004544;6.822581141285866e-05;2.8546182982088277;6.654378544701522e-05;2.853262858270197;7.071202257002973e-05;0.00909090909090909
16;3.6069164304038086;3.1066707359841423;3.6026182673334612;3.1051422223631087;3.60348820665588;3.104795888809363;3.60287400866536;3.1046155274798073;3.60398663944376;3.1046035081278824;0.16666666666666666
204;1.4174868476809301;8.111200751059755e-06;1.417487583046516;5.5544807057161805e-06;1.4174877164147175;5.836351144372642e-06;1.4174875271899314;5.886371461372164e-06;1.417487504497715;5.681071668095505e-06;0.07222222222222222
631;2.9839190736055463;2.5495556466711577;3.1487543841399703;2.2461701420979105;3.2059063730718402;2.2048061222695408;3.0724897404665104;2.2495548536488696;3.0331605012047316;2.487655281579973;0.059848484848484845
4;0.17959944598104566;0.04771065291799931;0.13470327125937825;0.09720468091219076;0.13471156672051726;0.11777766468583933;0.13445732560782464;0.11005989146555234;0.19147807618495832;0.059777786906950015;0.05
39;0.6315341974733328;0.4421316629388846;0.6262603501062916;0.42928073046526205;0.6227544163767352;0.43935278326815347;0.6265606356838092;0.4466125578190092;0.6245727532322869;0.45154209090227543;0.06666666666666667
31;3.2471950039569277;2.9363938583875964;3.2471950039569277;2.9363938583875964;3.2471950039569277;2.9363938583875964;3.2471950039569277;2.9363938583875964;3.2471950039569277;2.9363938583875964;0.16666666666666666
27;4.642558935893337;4.069732870895868;2.924657528742472;2.886249386094451;2.924657528742472;2.886249386094451;2.924657528742472;2.886249386094451;2.924657528742472;2.886249386094451;0.3333333333333333
