model_id;se;cd.mean;cd.std;lyapunov.mean;lyapunov.std;lyapunov.max;dfa;ghe
2;nan;0.0;0.0;inf;nan;inf;nan;nan
3;1.543914296641791e-06;0.03271481477914505;0.046265734751190696;0.06500359969070298;0.03023796192182099;0.08765594900703794;0.9069977931133666;0.5097858963835257
4;8.919142926069826e-07;0.0186077104658796;0.03721542093175918;0.08456956954547325;0.005484440513403319;0.09291993300153754;-0.021758653359912956;0.4639927788926676
5;nan;0.0;0.0;inf;nan;inf;nan;nan
6;0.016917100259858493;0.3911391517955326;0.40291407780142524;inf;nan;inf;0.8369729172520152;0.3208496976748045
10;0.007153795169846543;0.5572791561749428;0.1750790114904934;0.01376204522099611;0.009108839578313157;0.033667722148254586;0.010479500944156103;0.9949658438011555
69;3.230311612048031e-06;0.012336108232972627;0.0038081881522608095;0.004888658020241349;0.06931199158932838;0.11785869535503485;0.08082712415825653;0.7183765767082566
16;0.21083979379273166;1.035424791441844;0.015139470997935073;0.08476408792051669;0.015821280725610957;0.10458030659873063;1.068404881780556;0.3415125581579388
17;nan;0.0;0.0;inf;nan;inf;nan;nan
22;0.10242922750529547;0.8546378410563432;0.29038397395484533;inf;nan;inf;0.43188951805830456;0.32459741871582853
21;0.19828508417342644;0.7819685643034952;0.1219898908111841;0.21312554006243506;0.020632257474091364;0.24579841724358234;1.1216844694935102;0.2935872823513035
23;8.392009088108428e-05;0.1594365065409262;0.2376108562064678;inf;nan;inf;0.22205999980602567;0.6932143889811823
26;1.31937292842274e-06;0.34884858846847533;0.08086617251733988;0.05410778161084803;0.03229197951346327;0.1038286306299792;0.03091559231690383;0.6353059955033339
27;6.638498044298432e-07;0.3241460631613771;0.017680900271199732;0.08040535443900489;0.03885012475047473;0.1345224741534223;0.01902200758572205;0.9569654081259799
483;nan;0.0;0.0;inf;nan;inf;nan;nan
29;0.00041844138286856376;0.46602010447981335;0.03916785577663331;0.06873228807750119;0.0060900295602605015;0.07405683752350352;0.009827023810211897;0.9381212174619681
31;1.2234898054859332e-07;0.035208259718469775;0.0019221407491967473;0.0659547690940307;0.038630146832990535;0.11852370636831533;0.007773114758416887;0.8870576485739956
631;0.09737174750945111;0.8135355551352998;0.2670387507098573;0.07052291078967272;0.12871886351527637;0.1832728584317138;0.5040992660178195;0.351994238526717
203;-0.0;0.00929949783159457;0.02756401661591204;inf;nan;inf;0.35498071811426335;0.19111222805345135
204;-0.0;0.009183321800644814;0.027549688407955412;inf;nan;inf;0.5294390197650269;0.13746088895073788
209;6.269323005604814e-05;0.005611335789443504;0.0065855368808573934;inf;nan;inf;0.30572693211170876;0.6640987812465068
210;6.786636079073037e-05;0.2993704089918984;0.32997797775888316;inf;nan;inf;0.11876545203260036;0.8013370236081052
275;-0.0;0.003597469728962253;9.127006357056373e-05;-0.14814096362001875;0.012087301636043823;-0.13103087348556283;0.773689014596831;0.33036057097990484
39;0.2568869831848583;0.876841091770272;0.33805221671319946;0.16027350177276203;0.05467132948431015;0.24652400046641518;0.42522495123403736;0.07286769742462164
50;0.0003197502100549318;0.42700060632912307;0.35522581381291535;0.03508101233874933;0.07000980406754996;0.19631330094819513;0.1565925175147061;0.8420785096844777
35;0.10205025377703833;0.19059018919516363;0.21997469105411308;inf;nan;inf;1.0225088602831156;0.18889031626187552
36;4.919297691250383e-07;1.1876255488542922e-06;7.310210489433512e-07;0.2584169545602542;0.04119005582558159;0.2996070103858358;1.2544556822151545;0.546536941936934
37;1.921788876180436e-07;0.004413567575407163;0.004190561365402363;inf;nan;inf;0.2500763535675652;0.5125427920759957
38;nan;0.0;0.0;inf;nan;inf;nan;nan
