#{"t_start": 1730001938.0999548, "env_id": "None"}
r,l,t,is_broken
0.391008,1,0.828237,False
0.99886,1,1.415517,False
0.391008,1,1.97388,False
0.445104,1,2.52712,False
0.391008,1,3.07718,False
0.99825,1,3.629038,False
0.391008,1,4.237177,False
0.391008,1,4.78956,False
0.391008,1,5.350538,False
0.994931,1,6.067667,False
0.391008,1,6.73611,False
0.431075,1,7.305334,False
0.391008,1,7.906792,False
0.391008,1,8.496292,False
0.391008,1,9.050094,False
0.998195,1,9.612988,False
0.391008,1,10.270231,False
0.398781,1,10.835254,False
0.391008,1,11.401222,False
0.391008,1,11.967303,False
0.391008,1,12.530415,False
0.391008,1,13.090865,False
0.391008,1,13.652914,False
0.391008,1,14.22689,False
