#{"t_start": 1730029643.3725948, "env_id": "None"}
r,l,t,is_broken
-1.0,1,0.69415,False
334.646027,1,1071.759256,True
-1.0,1,1072.20174,False
299.956543,1,1072.645793,True
-1.0,1,1073.094222,False
-1.0,1,1073.533076,False
-1.0,1,1074.024407,False
-1.0,1,1074.471886,False
-1.0,1,1074.917128,False
-1.0,1,1075.393519,False
-1.0,1,1075.876299,False
-1.0,1,1076.327744,False
-1.0,1,1989.751023,False
-1.0,1,1990.334945,False
-1.0,1,1990.805344,False
-1.0,1,1991.251961,False
-1.0,1,1991.76468,False
-1.0,1,1992.210336,False
-1.0,1,1992.65827,False
-1.0,1,1993.104,False
