#{"t_start": 1730003335.669389, "env_id": "None"}
r,l,t,is_broken
0.999399,1,1.26509,False
0.999671,1,1.955103,False
0.999399,1,2.517836,False
0.999399,1,3.070645,False
0.999399,1,3.62331,False
0.99961,1,4.260343,False
0.999399,1,4.916347,False
0.999399,1,5.491892,False
0.999399,1,6.043307,False
0.999399,1,6.594127,False
0.999399,1,7.153477,False
0.999399,1,7.713872,False
0.999399,1,8.317634,False
0.999399,1,8.935138,False
0.999399,1,9.520369,False
0.999399,1,10.237625,False
0.999399,1,10.958158,False
0.999399,1,11.556212,False
0.999399,1,12.137526,False
0.999399,1,12.771568,False
0.999399,1,13.408175,False
0.999399,1,14.043029,False
0.999399,1,14.668732,False
0.999399,1,15.467986,False
