#{"t_start": 1729989425.26881, "env_id": "None"}
r,l,t,is_broken
-1.0,1,0.80929,False
8673.964844,1,1.359109,True
-1.0,1,1.902008,False
5789.643066,1,2.443581,True
-1.0,1,2.984251,False
-1.0,1,3.527419,False
-1.0,1,4.128276,False
-1.0,1,4.834073,False
-1.0,1,5.436405,False
-1.0,1,6.588389,False
-1.0,1,7.304954,False
-1.0,1,7.932508,False
-1.0,1,8.538952,False
-1.0,1,9.081575,False
-1.0,1,9.639235,False
80.624863,1,10.244395,True
-1.0,1,10.929356,False
384.482849,1,11.495119,True
-1.0,1,12.04049,False
-1.0,1,12.585425,False
-1.0,1,13.127857,False
-1.0,1,13.670243,False
-1.0,1,14.212117,False
-1.0,1,14.754365,False
