#{"t_start": 1729991053.923765, "env_id": "None"}
r,l,t,is_broken
-0.999999,1,0.812086,False
14.074459,1,1.3888,True
-0.999999,1,1.930963,False
5.869629,1,2.475544,True
-0.999999,1,3.019493,False
-1.000028,1,3.568232,False
-0.99986,1,4.170865,False
-0.999999,1,4.714416,False
-1.0,1,5.257643,False
209.476288,1,5.804016,True
-0.999999,1,6.347331,False
-0.999999,1,6.89161,False
-0.999999,1,7.4735,False
-0.999999,1,8.031225,False
-1.0,1,8.72083,False
-0.733023,1,9.271443,False
-1.0,1,9.919712,False
0.433147,1,10.473518,True
-0.999999,1,11.032118,False
-0.999999,1,11.584007,False
-0.999999,1,12.13692,False
-0.999999,1,12.698605,False
-0.999999,1,13.250875,False
-0.999999,1,13.80249,False
