#{"t_start": 1730002321.992176, "env_id": "None"}
r,l,t,is_broken
0.999051,1,0.924116,False
0.999481,1,1.950304,False
0.999051,1,2.768715,False
0.999051,1,3.348387,False
0.999051,1,3.919234,False
0.999385,1,4.589343,False
0.999051,1,5.496215,False
0.999051,1,6.215811,False
0.999051,1,6.951601,False
0.9992,1,7.713806,False
0.999051,1,8.446014,False
0.999051,1,9.436594,False
0.999051,1,10.444466,False
0.999378,1,11.457596,False
0.999051,1,12.671423,False
0.999051,1,14.022047,False
0.999051,1,15.050951,False
0.999051,1,15.762874,False
0.999051,1,16.580111,False
0.999051,1,17.324866,False
0.999051,1,18.008206,False
0.999051,1,18.662328,False
0.999051,1,19.284415,False
0.999051,1,19.870239,False
