#{"t_start": 1730002488.847512, "env_id": "None"}
r,l,t,is_broken
0.994566,1,1.123359,False
0.999626,1,1.888866,False
0.994566,1,2.658537,False
0.997789,1,3.445994,False
0.994566,1,4.064733,False
0.994566,1,4.733316,False
0.994643,1,5.519665,False
0.999845,1,6.120577,False
0.994566,1,6.866503,False
0.996467,1,7.615364,False
0.994566,1,8.394298,False
0.994566,1,9.140721,False
0.994566,1,9.876742,False
0.994566,1,10.613486,False
0.994566,1,11.346252,False
0.994566,1,12.099969,False
0.994566,1,12.894613,False
0.994667,1,13.624728,False
0.994566,1,14.358399,False
0.995084,1,15.096687,False
0.994566,1,15.85487,False
0.994566,1,16.626369,False
0.994566,1,17.358402,False
0.994566,1,18.094545,False
