#{"t_start": 1730000959.2377012, "env_id": "None"}
r,l,t,is_broken
-1.0,1,1.096593,False
3803.934326,1,1.770735,True
-1.0,1,2.338292,False
381.56839,1,2.906927,True
-1.0,1,3.47329,False
2105.565186,1,4.049418,True
-1.0,1,4.731324,False
-1.0,1,5.284297,False
-1.0,1,5.836185,False
-1.0,1,6.389136,False
-1.0,1,6.944431,False
-1.0,1,7.498531,False
-1.0,1,8.089815,False
-1.0,1,8.652615,False
-1.0,1,9.205799,False
-1.0,1,9.757862,False
-1.0,1,10.493117,False
-1.0,1,11.091628,False
-1.0,1,11.647104,False
-1.0,1,12.243173,False
-1.0,1,12.871472,False
-1.0,1,13.43875,False
-1.0,1,14.002057,False
-1.0,1,14.560925,False
