#{"t_start": 1729990971.935476, "env_id": "None"}
r,l,t,is_broken
0.983467,1,0.836328,False
0.994896,1,1.418506,False
0.983467,1,1.977188,False
0.993324,1,2.527882,False
0.983467,1,3.078796,False
0.983467,1,3.628135,False
0.983467,1,4.245302,False
0.983467,1,4.796121,False
0.983467,1,5.347231,False
0.998143,1,5.896881,False
0.983467,1,6.446735,False
0.994835,1,6.997044,False
0.983467,1,7.545964,False
0.983467,1,8.106805,False
0.983467,1,8.659654,False
0.983467,1,9.210333,False
0.983467,1,9.829191,False
0.984642,1,10.37902,False
0.983467,1,10.92758,False
0.988447,1,11.477184,False
0.983467,1,12.02712,False
0.983467,1,12.579385,False
0.983467,1,13.12841,False
0.983467,1,13.686448,False
