#{"t_start": 1729973218.686559, "env_id": "None"}
r,l,t,is_broken
0.703374,1,0.900765,False
-11.376011,1,2.297875,True
0.703543,1,2.950416,False
0.708423,1,3.595999,False
0.703543,1,4.241905,False
0.994845,1,6.267317,False
0.703543,1,6.899872,False
0.997227,1,9.495751,False
0.98801,1,10.727046,False
-0.52607,1,11.515873,True
0.703543,1,12.161502,False
0.830955,1,12.806006,False
0.703543,1,13.450609,False
0.784074,1,14.070714,False
0.703543,1,14.716355,False
0.756308,1,15.394774,False
-0.873623,1,15.901974,True
0.337927,1,16.4146,False
