#{"t_start": 1729904069.3643851, "env_id": "None"}
r,l,t,is_broken
-0.985501,1,0.964611,False
-0.953311,1,1.67629,False
-0.977943,1,2.383008,False
-0.771802,1,3.142914,False
-0.974442,1,3.878217,False
9.991798,1,4.611669,True
-0.450835,1,5.321404,False
-0.98046,1,6.066356,False
-0.974442,1,6.85389,False
-0.974448,1,7.560405,False
-0.972262,1,8.266718,False
-0.978999,1,8.972439,False
-0.974431,1,9.678417,False
-0.740228,1,10.381591,False
-0.977008,1,11.156742,False
0.295857,1,11.866145,True
-0.975248,1,12.595224,False
-0.973276,1,13.301836,False
-0.974442,1,14.013161,False
-0.974442,1,14.736801,False
-0.974442,1,15.465215,False
-0.974442,1,16.555737,False
