#{"t_start": 1729986904.107111, "env_id": "None"}
r,l,t,is_broken
0.997259,1,1.074747,False
0.997982,1,1.804828,False
0.997259,1,2.561643,False
0.997792,1,3.331262,False
0.997259,1,4.074567,False
0.997259,1,4.788585,False
0.99728,1,5.527061,False
0.997259,1,6.30374,False
0.997259,1,7.099783,False
0.998815,1,7.664379,False
0.997259,1,8.396823,False
0.997481,1,9.17357,False
0.997259,1,10.090661,False
0.997259,1,10.934345,False
0.997259,1,12.330726,False
0.997259,1,13.149831,False
0.997259,1,14.017365,False
0.997304,1,14.757431,False
0.997259,1,15.489435,False
0.997259,1,16.223005,False
0.997259,1,17.010711,False
0.997259,1,17.791255,False
0.997259,1,18.536995,False
0.997259,1,19.273443,False
