#{"t_start": 1729980504.6240268, "env_id": "None"}
r,l,t,is_broken
-0.014343,1,1.048392,False
-0.031319,1,1.799916,False
7.183406,1,2.572646,True
-0.084523,1,3.314581,False
197.752716,1,4.112674,True
-0.078719,1,4.912216,False
-0.025058,1,5.712399,False
0.282316,1,6.441718,True
-0.027999,1,7.171855,False
0.248685,1,7.929162,True
-0.0373,1,8.954629,False
1580.202271,1,9.721343,True
-0.06172,1,10.470534,False
1601.938965,1,11.215167,True
-0.015792,1,11.986619,False
-0.015821,1,12.766397,False
-0.015792,1,13.510066,False
-0.015031,1,14.522901,False
-0.015795,1,15.373355,False
-0.015778,1,16.098366,False
