#{"t_start": 1729916041.5558789, "env_id": "None"}
r,l,t,is_broken
0.431599,1,1.193367,False
-1.767141,1,1.989362,True
0.2434,1,2.807872,False
-2.940255,1,3.606612,True
0.108681,1,4.315085,False
0.411298,1,5.228641,False
-0.053228,1,5.995142,True
0.394597,1,6.825478,False
-8.711325,1,7.715564,True
0.576085,1,8.471547,False
0.431923,1,9.201086,False
0.401117,1,9.929628,False
0.339733,1,10.657837,False
0.633044,1,11.399709,False
0.304961,1,12.228356,False
0.960952,1,12.979599,False
0.293096,1,13.710965,False
0.185614,1,14.435772,False
0.009359,1,15.213194,False
0.930163,1,16.189059,False
0.431599,1,16.938816,False
0.431599,1,17.818317,False
