#{"t_start": 1729976020.1705952, "env_id": "None"}
r,l,t,is_broken
0.58522,1,0.905363,False
0.981579,1,2.196036,False
-36.596405,1,2.79579,True
0.44522,1,3.448971,False
0.954076,1,5.248498,False
nan,1,5.645185,False
-38.739677,1,6.35757,True
0.975912,1,6.997171,False
0.964677,1,8.546686,False
-2.596047,1,9.197291,True
-9.55326,1,11.593294,True
0.973665,1,12.381908,False
-4.601684,1,13.091038,True
-0.014247,1,13.811698,True
-0.303327,1,14.464691,True
0.974594,1,15.187588,False
-0.485218,1,15.835397,True
0.976365,1,16.493339,False
