#{"t_start": 1729990066.521198, "env_id": "None"}
r,l,t,is_broken
0.813675,1,0.808621,False
0.99954,1,1.447428,False
0.813675,1,2.006205,False
0.999311,1,2.557309,False
0.813675,1,3.094996,False
0.813578,1,3.635178,False
0.813674,1,4.282546,False
0.813671,1,4.826762,False
0.813684,1,5.377094,False
0.813423,1,5.923058,False
0.813675,1,6.469124,False
0.813675,1,7.014243,False
0.813675,1,7.564471,False
0.813675,1,8.109107,False
0.563573,1,8.657956,False
0.955918,1,9.208916,False
-1.524313,1,9.820325,True
0.989666,1,10.367067,False
0.813674,1,10.926638,False
0.813674,1,11.471355,False
0.813675,1,12.024901,False
0.813675,1,12.569351,False
0.813675,1,13.120632,False
0.813675,1,13.669877,False
