#{"t_start": 1729992138.0178912, "env_id": "None"}
r,l,t,is_broken
0.999612,1,1.011169,False
0.999747,1,1.732515,False
0.999612,1,2.470043,False
0.999612,1,3.202832,False
0.999612,1,3.935628,False
0.999712,1,4.66153,False
0.999612,1,5.281346,False
0.999612,1,5.838354,False
0.999612,1,6.568007,False
0.999612,1,7.154399,False
0.999612,1,7.916255,False
0.999612,1,8.648761,False
0.999612,1,9.382659,False
0.999612,1,10.036194,False
0.999612,1,10.768293,False
0.999612,1,11.50508,False
0.999612,1,12.322874,False
0.999612,1,13.055395,False
0.999612,1,13.787064,False
0.999612,1,14.519137,False
0.999612,1,15.248839,False
0.999612,1,15.979258,False
0.999612,1,16.70871,False
0.999612,1,17.443541,False
