#{"t_start": 1730254023.772545, "env_id": "None"}
r,l,t,is_broken
0.004999413620680571,1,29.361490964889526,False
0.004999971482902765,1,29.36150050163269,False
0.004999672994017601,1,29.36150360107422,False
0.004999876953661442,1,29.361506700515747,False
0.004999831318855286,1,29.361510038375854,False
-inf,1,29.361513137817383,False
-inf,1,29.361515522003174,False
0.004999819211661816,1,29.361518144607544,False
-inf,1,29.361520051956177,False
-inf,1,29.361522436141968,False
0.004999413620680571,1,29.361525058746338,False
0.004999853670597076,1,29.36152744293213,False
-inf,1,29.361529111862183,False
0.004999848082661629,1,29.361531972885132,False
0.004999925382435322,1,29.361533880233765,False
0.004999967757612467,1,29.361536026000977,False
0.004999413620680571,1,29.36153817176819,False
-inf,1,29.36154079437256,False
0.0049998038448393345,1,29.36154341697693,False
0.004999950993806124,1,29.36154556274414,False
0.004999710712581873,1,29.361547708511353,False
0.004999642260372639,1,29.361550092697144,False
0.004999756813049316,1,29.361557722091675,False
0.004999939352273941,1,29.361559867858887,False
0.004999413620680571,1,29.36156177520752,False
-inf,1,29.36156392097473,False
0.004999920725822449,1,29.3615665435791,False
0.004999680444598198,1,29.361568689346313,False
0.004999772645533085,1,29.361571073532104,False
0.00499983225017786,1,29.361572980880737,False
0.004999992437660694,1,29.36157512664795,False
0.004999823402613401,1,29.361577033996582,False
0.004999413620680571,1,29.361578941345215,False
0.004999413620680571,1,29.361581563949585,False
-inf,1,29.361583471298218,False
0.004999397322535515,1,29.36158561706543,False
-inf,1,29.36158776283264,False
0.004999413620680571,1,29.361589670181274,False
0.004999662283807993,1,29.361592054367065,False
-inf,1,29.36159348487854,False
0.004999849479645491,1,29.361595630645752,False
0.004999849479645491,1,29.361598253250122,False
0.0049995495937764645,1,29.361600637435913,False
0.004999867640435696,1,29.361602544784546,False
-inf,1,29.36160397529602,False
0.004999933764338493,1,29.361605882644653,False
0.004999993368983269,1,29.361608028411865,False
0.004999871365725994,1,29.361609935760498,False
0.004999837838113308,1,29.36161208152771,False
0.004999809432774782,1,29.361613988876343,False
0.004999413620680571,1,29.361616134643555,False
-inf,1,29.36161780357361,False
0.004999995231628418,1,29.36161994934082,False
0.004999815486371517,1,29.361622095108032,False
0.004999983590096235,1,29.361624002456665,False
0.004999637603759766,1,29.361626148223877,False
0.00499983225017786,1,29.36162805557251,False
-inf,1,29.361629962921143,False
0.004999547731131315,1,29.361631870269775,False
0.004999785218387842,1,29.361634254455566,False
0.004999678581953049,1,29.36163640022278,False
0.004999534226953983,1,29.36163830757141,False
0.004999991040676832,1,29.361640214920044,False
0.004999680444598198,1,29.361642122268677,False
-inf,1,29.36164379119873,False
0.004999925848096609,1,29.36164665222168,False
-inf,1,29.361648082733154,False
0.004999913275241852,1,29.361650943756104,False
-inf,1,29.361652374267578,False
0.004999740049242973,1,29.36165452003479,False
0.004999413620680571,1,29.36165690422058,False
0.004999533761292696,1,29.361658573150635,False
-inf,1,29.36166024208069,False
0.004999865312129259,1,29.361661911010742,False
0.004999853670597076,1,29.361664295196533,False
0.004999968688935041,1,29.361666202545166,False
-inf,1,29.36166787147522,False
0.004999853670597076,1,29.36167073249817,False
0.00499985134229064,1,29.36167287826538,False
0.004999833647161722,1,29.361674785614014,False
0.0049998462200164795,1,29.361676931381226,False
0.004999571945518255,1,29.361679077148438,False
0.004999709781259298,1,29.36168098449707,False
0.004999658092856407,1,29.361682891845703,False
0.004999921657145023,1,29.361685276031494,False
0.00499982014298439,1,29.361687183380127,False
0.004999933764338493,1,29.36168932914734,False
0.004999845288693905,1,29.36169147491455,False
0.004999678116291761,1,29.361693143844604,False
0.00499989278614521,1,29.361697673797607,False
0.004999852739274502,1,29.36169981956482,False
-inf,1,29.361701250076294,False
0.004999715834856033,1,29.361703395843506,False
0.00499989278614521,1,29.361706256866455,False
0.004999413620680571,1,29.36170792579651,False
0.004999998956918716,1,29.361709594726562,False
0.004999413620680571,1,29.361711263656616,False
0.004999976605176926,1,29.361713647842407,False
