#{"t_start": 1729999550.378159, "env_id": "None"}
r,l,t,is_broken
0.996096,1,0.93103,False
0.997447,1,1.514012,False
0.996096,1,2.07098,False
0.997106,1,2.636351,False
0.996096,1,3.251395,False
0.996096,1,3.84477,False
0.996096,1,4.528723,False
0.996096,1,5.092796,False
0.996096,1,5.654582,False
0.998638,1,6.207265,False
0.996096,1,6.818959,False
0.997432,1,7.402402,False
0.996096,1,7.958178,False
0.996096,1,8.510192,False
0.996096,1,9.180076,False
0.996167,1,9.734551,False
0.996096,1,10.364444,False
0.996459,1,10.916776,False
0.996096,1,11.500263,False
0.996096,1,12.146677,False
0.996096,1,13.056344,False
0.996096,1,13.74016,False
0.996096,1,14.371597,False
0.996096,1,14.953787,False
