#{"t_start": 1729988841.037709, "env_id": "None"}
r,l,t,is_broken
-1.0,1,1.09271,False
3803.930176,1,1.715198,True
-1.0,1,2.342558,False
381.567932,1,2.938025,True
-1.0,1,3.515184,False
2105.565186,1,4.142533,True
-1.0,1,4.90572,False
-1.0,1,5.464081,False
-1.0,1,6.04636,False
-1.0,1,6.599737,False
-1.0,1,7.172189,False
-1.0,1,7.759374,False
-1.0,1,8.424071,False
-1.0,1,9.023327,False
-1.0,1,9.577575,False
-1.0,1,10.121581,False
-1.0,1,10.789009,False
-1.0,1,11.332721,False
-1.0,1,12.366603,False
-1.0,1,12.948283,False
-1.0,1,13.495162,False
-1.0,1,14.05424,False
-1.0,1,14.618483,False
-1.0,1,15.180246,False
