#{"t_start": 1729980193.653729, "env_id": "None"}
r,l,t,is_broken
0.895239,1,0.981263,False
0.896775,1,1.709892,False
0.895242,1,2.521322,False
0.895244,1,3.301757,False
0.895241,1,4.166376,False
0.895345,1,4.934204,False
0.895334,1,5.778356,False
0.896654,1,7.052144,False
0.89524,1,7.90288,False
0.896761,1,8.691772,False
0.896548,1,9.753452,False
0.895249,1,10.543085,False
0.896644,1,11.265127,False
0.895417,1,11.985141,False
0.895239,1,12.929988,False
0.895301,1,13.972831,False
0.895239,1,14.820681,False
0.921889,1,15.567272,False
0.895239,1,16.506661,False
0.920032,1,17.253685,False
