#{"t_start": 1729986666.9109151, "env_id": "None"}
r,l,t,is_broken
0.997259,1,0.985381,False
0.997983,1,1.692298,False
0.997259,1,2.419491,False
0.997792,1,3.140204,False
0.997259,1,3.884419,False
0.997259,1,4.636681,False
0.99728,1,5.272269,False
0.997259,1,5.814183,False
0.997259,1,6.533865,False
0.998815,1,7.07605,False
0.997259,1,7.797138,False
0.997481,1,8.51721,False
0.997259,1,9.236595,False
0.997259,1,9.864121,False
0.997259,1,10.590612,False
0.997259,1,11.310702,False
0.997259,1,12.184064,False
0.997304,1,12.910766,False
0.997259,1,13.63162,False
0.997259,1,14.351288,False
0.997259,1,15.07358,False
0.997259,1,15.838549,False
0.997259,1,16.569664,False
0.997259,1,17.297602,False
