#{"t_start": 1729993250.7071989, "env_id": "None"}
r,l,t,is_broken
0.948016,1,0.810211,False
0.990258,1,1.364379,False
0.948016,1,1.920654,False
0.95021,1,2.469484,False
0.948016,1,3.016137,False
0.948016,1,3.56385,False
0.948016,1,4.169572,False
0.995347,1,4.72282,False
0.948016,1,5.272115,False
0.983497,1,5.819528,False
0.948016,1,6.369209,False
0.948016,1,6.924847,False
0.948016,1,7.474707,False
0.998251,1,8.026445,False
0.948016,1,8.606267,False
0.951636,1,9.162327,False
0.948016,1,9.795471,False
0.963424,1,10.345577,False
0.948016,1,10.891679,False
0.948016,1,11.441178,False
0.948016,1,11.98727,False
0.948016,1,12.535691,False
0.948016,1,13.080985,False
0.948016,1,13.629266,False
