#{"t_start": 1729994403.4507258, "env_id": "None"}
r,l,t,is_broken
0.988568,1,0.886895,False
0.999036,1,1.477984,False
0.988568,1,2.041856,False
0.994521,1,2.604215,False
0.988568,1,3.158898,False
0.998367,1,3.71567,False
0.9886,1,4.327254,False
-14.65152,1,4.883742,True
0.988602,1,5.439457,False
0.980024,1,5.996025,False
0.988568,1,6.552025,False
0.988568,1,7.109274,False
0.988568,1,7.664835,False
0.988568,1,8.222153,False
0.988604,1,8.778946,False
0.988413,1,9.33737,False
0.988626,1,9.960802,False
0.987575,1,10.517697,False
0.988568,1,11.074013,False
0.988568,1,11.627977,False
0.988568,1,12.187059,False
0.988568,1,12.741294,False
0.988568,1,13.298978,False
0.988568,1,13.865803,False
