#{"t_start": 1730003281.607863, "env_id": "None"}
r,l,t,is_broken
0.915928,1,1.079036,False
0.999494,1,1.814753,False
0.915928,1,2.569312,False
0.999246,1,3.330856,False
0.915928,1,4.074505,False
0.91603,1,4.818668,False
0.916065,1,5.499597,False
0.916065,1,6.085024,False
0.91601,1,6.847107,False
0.915955,1,7.418998,False
0.915928,1,8.172152,False
0.916114,1,9.000499,False
0.915928,1,9.784896,False
0.915928,1,10.546603,False
0.915928,1,11.310841,False
0.916133,1,11.965231,False
0.915928,1,12.805362,False
0.915928,1,13.548946,False
0.800605,1,14.295702,False
0.971571,1,15.054082,False
0.915927,1,15.794145,False
0.915927,1,16.54794,False
0.915928,1,17.279382,False
0.915928,1,18.016624,False
