#{"t_start": 1729917071.6299362, "env_id": "None"}
r,l,t,is_broken
-0.989464,1,0.948515,False
10.668488,1,1.647518,True
-0.988913,1,2.341275,False
-0.993033,1,3.090327,False
-0.990158,1,3.784678,False
-0.994438,1,4.479316,False
-0.802804,1,5.173284,False
-0.988788,1,5.870036,False
-0.994057,1,6.625802,False
-0.991354,1,7.324215,False
-0.989528,1,8.018624,False
-0.983875,1,8.713328,False
-0.992126,1,9.415908,False
-0.972956,1,10.111363,False
-0.99353,1,10.889874,False
-0.978056,1,11.587477,False
-0.994181,1,12.286062,False
3.458938,1,12.996717,True
-0.987019,1,13.690316,False
-0.995647,1,14.387224,False
-0.989464,1,15.081081,False
-0.989464,1,15.906715,False
