#{"t_start": 1729996345.725568, "env_id": "None"}
r,l,t,is_broken
-1.0,1,1.208859,False
8680.804688,1,1.821895,True
-1.0,1,2.72216,False
5785.649414,1,3.276895,True
-1.0,1,4.161725,False
-1.0,1,4.861787,False
-1.0,1,6.051752,False
-1.0,1,7.053907,False
-1.0,1,7.721247,False
-1.0,1,8.369274,False
-1.0,1,9.340102,False
-1.0,1,10.29951,False
-1.0,1,11.2277,False
-1.0,1,11.952065,False
-1.0,1,12.877575,False
-1.0,1,13.779503,False
-1.0,1,14.791467,False
80.574203,1,15.471283,True
-1.0,1,16.399823,False
384.467041,1,16.979356,True
-1.0,1,18.155768,False
-1.0,1,19.072259,False
-1.0,1,20.017401,False
-1.0,1,20.940348,False
