#{"t_start": 1729987883.710658, "env_id": "None"}
r,l,t,is_broken
0.999051,1,0.936861,False
0.999481,1,1.613388,False
0.999051,1,2.177694,False
0.999051,1,2.763119,False
0.999051,1,3.459894,False
0.999385,1,4.116062,False
0.999051,1,4.823734,False
0.999051,1,5.384636,False
0.999051,1,5.949452,False
0.9992,1,6.518321,False
0.999051,1,7.081181,False
0.999051,1,7.641132,False
0.999051,1,8.206297,False
0.999051,1,8.76563,False
0.999051,1,9.322883,False
0.999378,1,9.882522,False
0.999051,1,10.517883,False
0.999051,1,11.245593,False
0.999051,1,11.977316,False
0.999051,1,12.577597,False
0.999051,1,13.166882,False
0.999051,1,13.778314,False
0.999051,1,14.362663,False
0.999051,1,14.924979,False
