#{"t_start": 1729917220.250008, "env_id": "None"}
r,l,t,is_broken
-0.964243,1,0.947642,False
-0.763183,1,1.646381,False
-0.907967,1,2.338642,False
10.473593,1,3.080028,True
-0.384411,1,3.798228,False
-0.923105,1,4.500998,False
-0.915895,1,5.194691,False
-0.346972,1,5.888397,False
-0.907967,1,6.653504,False
-0.907967,1,7.356262,False
-0.906428,1,8.052233,False
-0.909008,1,8.752204,False
-0.908847,1,9.444978,False
-0.755497,1,10.146837,False
-0.926111,1,10.909243,False
0.165693,1,11.610716,True
-0.908068,1,12.326195,False
-0.907728,1,13.028587,False
-0.907967,1,13.724917,False
-0.907967,1,14.426375,False
-0.907967,1,15.128323,False
-0.907967,1,15.925594,False
