#{"t_start": 1730003259.020449, "env_id": "None"}
r,l,t,is_broken
0.996096,1,1.341441,False
0.997352,1,1.933812,False
0.996096,1,2.851686,False
0.997019,1,3.407022,False
0.996096,1,4.303566,False
0.996096,1,4.866776,False
0.996096,1,5.862214,False
0.996096,1,6.751802,False
0.996096,1,7.313572,False
0.998638,1,7.870208,False
0.996096,1,8.763605,False
0.997432,1,9.328063,False
0.996096,1,10.217167,False
0.996096,1,10.929963,False
0.996096,1,11.817416,False
0.996096,1,12.717894,False
0.996096,1,13.716008,False
0.996459,1,14.295677,False
0.996096,1,15.207512,False
0.996096,1,16.140037,False
0.996096,1,17.080682,False
0.996096,1,18.005399,False
0.996096,1,18.944279,False
0.996096,1,19.872008,False
