#{"t_start": 1729923262.5718122, "env_id": "None"}
r,l,t,is_broken
0.99535,1,0.897943,False
0.995221,1,2.104862,False
0.98987,1,2.917864,False
-119.785095,1,3.557679,True
0.995299,1,4.387043,False
-0.386605,1,5.468574,True
0.995313,1,6.347317,False
0.246453,1,8.281206,False
0.995277,1,9.102764,False
nan,1,10.108033,False
0.994912,1,10.887238,False
0.993003,1,12.834222,False
0.99478,1,13.618673,False
0.994023,1,15.206442,False
0.994835,1,15.996298,False
0.994275,1,17.334252,False
0.994927,1,18.123725,False
0.993416,1,19.978309,False
