#{"t_start": 1729917034.65858, "env_id": "None"}
r,l,t,is_broken
-0.992137,1,0.948785,False
8.719653,1,1.648761,True
-0.990212,1,2.347487,False
-0.995345,1,3.146216,False
-0.991418,1,3.883904,False
-0.996585,1,4.581939,False
-0.845224,1,5.2764,False
-0.991449,1,5.972121,False
-0.994731,1,6.765225,False
-0.991706,1,7.460037,False
-0.992187,1,8.155662,False
-0.987744,1,8.861678,False
-0.994384,1,9.568525,False
-0.984819,1,10.268529,False
-0.994931,1,11.041698,False
-0.9691,1,11.738981,False
-0.991354,1,12.435231,False
-0.995748,1,13.136489,False
-0.992137,1,13.836938,False
-0.992137,1,14.528787,False
-0.992137,1,15.223072,False
-0.992137,1,15.996716,False
