#{"t_start": 1729967804.0518668, "env_id": "None"}
r,l,t,is_broken
0.999491,1,1.531112,False
nan,1,1.959718,False
0.999491,1,816.147164,False
0.99949,1,817.364503,False
0.999491,1,818.607951,False
0.999484,1,819.691992,False
0.999491,1,820.959189,False
0.999484,1,822.062704,False
0.999491,1,2655.260808,False
0.999422,1,2656.445335,False
0.920215,1,2657.519282,False
0.99998,1,2658.610866,False
0.999491,1,2659.837226,False
0.999674,1,2791.269456,False
0.999491,1,2792.487432,False
0.99957,1,2793.629422,False
0.999491,1,2794.850516,False
0.999549,1,2795.957297,False
