#{"t_start": 1734076374.938898, "env_id": "None"}
r,l,t,is_broken
0.0,1,2.342331,False
0.0,1,4.343193,False
0.0,1,6.141365,False
0.0,1,8.389216,False
0.0,1,10.252645,False
0.0,1,12.184575,False
0.0,1,14.141625,False
0.0,1,16.009522,False
0.0,1,17.771908,False
0.0,1,19.624274,False
0.0,1,21.619841,False
0.0,1,23.901314,False
0.0,1,28.821756,False
0.0,1,33.744096,False
0.0,1,44.999559,False
0.0,1,53.116447,False
0.0,1,55.471738,False
0.0,1,60.188568,False
0.0,1,65.126267,False
0.0,1,70.037271,False
0.0,1,75.409037,False
0.0,1,77.239678,False
