#{"t_start": 1730000241.773315, "env_id": "None"}
r,l,t,is_broken
0.78198,1,0.933204,False
0.859139,1,1.567506,False
0.78198,1,2.165064,False
0.812574,1,2.743439,False
0.78198,1,3.336101,False
0.78198,1,3.957111,False
0.838897,1,4.824436,False
0.78198,1,5.815548,False
0.78198,1,6.425121,False
0.998149,1,7.013795,False
0.78198,1,7.601344,False
0.812614,1,8.166963,False
0.78198,1,8.737877,False
0.78198,1,9.367974,False
0.78198,1,9.951939,False
0.78198,1,10.586666,False
0.78198,1,11.38247,False
0.78198,1,11.966803,False
0.78198,1,12.611451,False
0.78198,1,13.23278,False
0.78198,1,13.811249,False
0.786849,1,14.376704,False
0.78198,1,14.943609,False
0.78198,1,15.553938,False
