#{"t_start": 1729979566.4313548, "env_id": "None"}
r,l,t,is_broken
1.436288,1,1.170955,True
-0.039549,1,2.007684,False
1.439868,1,2.818311,True
-0.031379,1,3.626604,False
-0.026276,1,4.479954,False
1.48121,1,5.298801,True
-0.008832,1,6.146933,False
-0.051678,1,6.883116,False
-0.008795,1,7.735575,False
-0.043254,1,8.546332,False
-0.030928,1,9.412077,False
168.84729,1,10.180971,True
-0.008851,1,10.979529,False
0.242276,1,11.716857,True
-0.008862,1,12.45712,False
-0.009041,1,13.246262,False
-0.008888,1,14.044278,False
-0.008456,1,14.831575,False
-0.008889,1,15.693437,False
-0.008922,1,16.591617,False
