#{"t_start": 1729979286.032789, "env_id": "None"}
r,l,t,is_broken
0.904208,1,1.089717,False
0.904433,1,1.855695,False
0.904208,1,2.614428,False
0.904194,1,3.346895,False
0.904208,1,4.21659,False
0.904195,1,4.996533,False
0.904208,1,5.772892,False
0.904374,1,6.553178,False
0.902834,1,7.311074,False
0.904209,1,8.073938,False
0.904224,1,8.874975,False
0.902961,1,9.591956,False
0.904261,1,10.407747,False
0.902963,1,11.202427,False
0.904208,1,11.939978,False
0.904204,1,12.648594,False
0.902838,1,13.358159,False
0.92634,1,14.068141,False
0.902885,1,14.857913,False
0.92456,1,15.599076,False
